AK;HOZ1;HOZ2;HOZ3;HOZ4;HOZ5
25565;2616;3290;3959;4634;5303
30000;2981;3735;4487;5244;5996
35000;3375;4215;5061;5904;6749
40000;3751;4681;5610;6534;7465
45000;4125;5134;6146;7152;8165
50000;4495;5585;6675;7759;8851
75000;6233;7687;9141;10591;12045
100000;7863;9649;11436;13218;15004
150000;10902;13286;15671;18053;20437
200000;13753;16680;19606;22528;25454
250000;16467;19892;23322;26748;30177
300000;19070;22970;26877;30778;34684
350000;21593;25948;30304;34654;39010
400000;24056;28839;33626;38408;43196
450000;26451;31653;36856;42052;47255
500000;28793;34399;40002;45607;51209
750000;39906;47363;54819;62275;69732
1000000;50338;59468;68603;77733;86868
1500000;69798;81930;94062;106198;118330
2000000;88043;102884;117725;132572;147413
2500000;105403;122755;140099;157451;174797
3000000;122104;141804;161504;181210;200910
3500000;138269;160202;182135;204063;225996
4000000;154001;178067;202128;226193;250254
4500000;169349;195466;221580;247691;273807
5000000;184370;212464;240558;268655;296748
7500000;255540;292695;329850;367006;404161
10000000;322325;367629;412932;458236;503540
15000000;446895;506699;566498;626302;686100
20000000;563691;636474;709258;782047;854831
25000000;674891;759620;844344;929073;1013797
25564594;687391;773458;859520;945588;1031649
