AK;HOZ1;HOZ2;HOZ3;HOZ4;HOZ5
500000;16423;20149;25680;30874;34656
1000000;29492;36087;45980;55198;61981
1500000;41296;50436;64249;77050;86540
2000000;52279;63753;81199;97296;109302
2500000;62650;76302;97169;116348;130728
3000000;72534;88240;112357;134449;151090
3500000;82013;99669;126895;151759;170566
4000000;91145;110662;140877;168391;189284
4500000;99974;121275;154372;184431;207340
5000000;108534;131550;167435;199946;224807
5500000;116851;141520;180110;214986;241744
6000000;124949;151214;192431;229597;258200
6500000;132844;160655;204428;243814;274214
7000000;140554;169861;216126;257666;289822
7500000;148090;178851;227547;271181;305052
8000000;155465;187638;238709;284381;319928
8500000;162689;196234;249628;297285;334474
9000000;169770;204652;260319;309911;348709
9500000;176717;212902;270794;322274;362650
10000000;183537;220991;281065;334389;376313
10500000;190235;228928;291141;346267;389711
11000000;196819;236721;301033;357920;402857
11500000;203292;244375;310748;369358;415763
12000000;209660;251898;320295;380591;428439
12500000;215928;259294;329679;391627;440894
13000000;222098;266568;338908;402474;453138
13500000;228176;273725;347988;413139;465179
14000000;234164;280770;356925;423629;477023
14500000;240065;287707;365722;433950;488679
15000000;245884;294538;374386;444108;500153
15500000;251621;301269;382920;454109;511450
16000000;257281;307901;391329;463957;522576
16500000;262864;314439;399617;473658;533537
17000000;268375;320884;407787;483215;544338
17500000;273814;327240;415843;492634;554984
18000000;279185;333509;423788;501917;565478
18500000;284488;339694;431625;511069;575826
19000000;289726;345797;439358;520094;586030
19500000;294900;351820;446988;528994;596096
20000000;300012;357765;454519;537773;606025
20500000;305063;363634;461952;546433;615823
21000000;310056;369428;469291;554979;625492
21500000;314991;375151;476538;563412;635034
22000000;319869;380803;483694;571735;644454
22500000;324693;386386;490762;579951;653753
23000000;329463;391901;497744;588061;662936
23500000;334180;397350;504641;596069;672003
24000000;338846;402735;511456;603977;680957
24500000;343462;408056;518190;611786;689802
25000000;348028;413316;524844;619498;698538
